id_parlamentar_voz,casa,ano,uf,id_partido,total_votos,total_votos_uf
1204566,camara,2018,MA,37907,79674,3270678
1178843,camara,2018,AL,36834,139458,1458674
175431,camara,2018,RS,36845,83617,5845077
1204486,camara,2018,CE,36786,157510,4594520
174749,camara,2018,MG,36899,58243,10078120
1141508,camara,2018,RO,36832,30399,783305
1188097,camara,2018,PI,36844,71840,1787802
1178984,camara,2018,SP,36835,86042,21104181
1178985,camara,2018,SP,37906,93093,21104181
1154178,camara,2018,SP,36815,77413,21104181
1178895,camara,2018,MG,36834,128537,10078120
1178997,camara,2018,CE,36899,128526,4594520
1204453,camara,2018,RN,36844,112998,1609833
1204449,camara,2018,MT,36837,126249,1481262
174571,camara,2018,BA,36844,101476,6868013
1204415,camara,2018,RS,36837,32200,5845077
1146307,camara,2018,MT,37903,73072,1481262
1178896,camara,2018,MG,36899,69900,10078120
1204384,camara,2018,PR,36834,92399,5731922
1204479,camara,2018,RR,36837,12969,270708
174352,camara,2018,PA,36835,148972,3956457
1178986,camara,2018,SP,36844,124281,21104181
1194260,camara,2018,AL,36845,84956,1458674
166179,camara,2018,ES,36769,57156,1933018
174159,camara,2018,MG,36844,87891,10078120
1204498,camara,2018,PA,36769,135398,3956457
174399,camara,2018,RS,36769,183518,5845077
1178987,camara,2018,SP,36779,64822,21104181
1204363,camara,2018,TO,36833,58726,715942
173692,camara,2018,RS,36899,86305,5845077
1204422,camara,2018,PE,36815,65939,4331764
1204441,camara,2018,RJ,36833,120498,7720770
1204475,camara,2018,RR,36765,11879,270708
1204573,camara,2018,BA,36834,185428,6868013
1160556,camara,2018,MG,36844,131228,10078120
174319,camara,2018,PI,36845,66072,1787802
1160642,camara,2018,PE,37907,125025,4331764
1204553,camara,2018,BA,36898,323264,6868013
1205535,camara,2018,AP,37906,12950,364871
174160,camara,2018,MG,36844,112724,10078120
1204377,camara,2018,DF,37905,46069,1439876
1171617,camara,2018,AL,36844,60900,1458674
1141516,camara,2018,MG,36835,79797,10078120
1178860,camara,2018,BA,36769,84090,6868013
