id_parlamentar_voz,ano,casa,dias_com_sessoes_deliberativas,dias_presentes,dias_ausencias_justificadas,dias_ausencias_nao_justificadas
1160669,2020,camara,102,93,6,3
1160669,2021,camara,79,77,0,2
1160673,2019,camara,113,103,9,1
1160673,2020,camara,102,96,6,0
1160673,2021,camara,79,79,0,0
1160674,2019,camara,113,107,3,3
1160674,2020,camara,102,99,0,3
1160674,2021,camara,79,75,4,0
1160758,2019,camara,113,105,6,2
1160758,2020,camara,102,99,3,0
1160758,2021,camara,79,79,0,0
1160976,2019,camara,113,90,22,1
1160976,2020,camara,102,99,3,0
1160976,2021,camara,79,79,0,0
1161550,2019,camara,113,107,6,0
1161550,2020,camara,102,98,4,0
1161550,2021,camara,79,76,3,0
1162332,2019,camara,113,91,21,1
1162332,2020,camara,102,100,2,0
1162332,2021,camara,79,79,0,0
1164359,2019,camara,113,92,21,0
1164359,2020,camara,102,97,5,0
1164359,2021,camara,79,79,0,0
1164360,2019,camara,113,112,1,0
1164360,2020,camara,102,101,1,0
1164360,2021,camara,66,66,0,0
1166402,2019,camara,113,89,7,17
1166402,2020,camara,102,96,5,1
1166402,2021,camara,79,79,0,0
1168175,2019,camara,5,5,0,0
1168175,2021,camara,1,1,0,0
1171617,2019,camara,113,109,4,0
1171617,2020,camara,102,98,4,0
1171617,2021,camara,79,78,0,1
1171619,2019,camara,113,107,4,2
1171619,2020,camara,102,100,2,0
1171623,2020,camara,102,97,4,1
1171623,2021,camara,79,66,12,1
1177282,2019,camara,113,110,2,1
1177282,2020,camara,102,100,2,0
1177282,2021,camara,79,77,0,2
1178825,2020,camara,14,14,0,0
1178825,2021,camara,79,79,0,0
1178829,2019,camara,113,110,2,1
1178829,2020,camara,102,102,0,0
1178829,2021,camara,79,79,0,0
1178830,2020,camara,79,75,4,0
1178831,2019,camara,113,105,4,4
1178831,2020,camara,102,99,2,1
1178831,2021,camara,79,77,0,2
1178832,2019,camara,113,87,26,0
1178832,2020,camara,102,95,5,2
1178832,2021,camara,79,79,0,0
1178833,2019,camara,113,84,15,14
1178833,2020,camara,102,95,3,4
1178835,2019,camara,113,106,6,1
1178835,2020,camara,102,98,4,0
1178835,2021,camara,79,79,0,0
1178836,2019,camara,113,108,5,0
1178836,2020,camara,102,101,1,0
1178836,2021,camara,79,77,2,0
1178839,2019,camara,113,86,19,8
1178839,2020,camara,102,101,1,0
1178839,2021,camara,79,78,0,1
1178842,2019,camara,113,86,16,11
1178842,2020,camara,102,97,2,3
1178843,2019,camara,113,91,17,5
1178843,2020,camara,102,96,3,3
1178843,2021,camara,79,79,0,0
1178844,2021,camara,79,79,0,0
1178854,2019,camara,113,83,30,0
1178854,2020,camara,102,100,1,1
1178854,2021,camara,79,77,0,2
1178857,2019,camara,113,102,10,1
1178857,2020,camara,102,99,2,1
1178857,2021,camara,79,67,12,0
1178858,2019,camara,113,97,16,0
1178858,2020,camara,102,100,2,0
1178858,2021,camara,79,79,0,0
1178860,2019,camara,113,108,3,2
1178860,2020,camara,102,100,2,0
1178860,2021,camara,79,78,0,1
1178861,2019,camara,113,99,10,4
1178861,2020,camara,102,96,3,3
1178861,2021,camara,79,78,0,1
1178862,2021,camara,68,68,0,0
1178863,2019,camara,113,101,11,1
1178863,2020,camara,102,94,7,1
1178863,2021,camara,79,79,0,0
1178866,2019,camara,113,85,21,7
1178866,2020,camara,101,94,6,1
1178866,2021,camara,49,47,2,0
1178868,2021,camara,44,44,0,0
1178871,2019,camara,113,103,7,3
1178871,2020,camara,102,101,1,0
1178871,2021,camara,79,78,0,1
1178873,2019,camara,113,104,9,0
1178873,2020,camara,102,100,1,1
1178873,2021,camara,79,79,0,0
1178874,2019,camara,113,110,3,0
1178874,2020,camara,102,102,0,0
1178876,2019,camara,113,108,5,0
1178876,2020,camara,102,100,2,0
1178876,2021,camara,79,79,0,0
1178879,2019,camara,113,96,10,7
1178879,2020,camara,102,101,1,0
1178879,2021,camara,79,79,0,0
1178881,2019,camara,113,103,10,0
1178881,2020,camara,102,93,9,0
1178881,2021,camara,79,77,2,0
1178882,2019,camara,113,74,39,0
1178882,2020,camara,102,89,13,0
1178882,2021,camara,79,78,0,1
1178884,2019,camara,113,103,7,3
1178884,2020,camara,102,87,15,0
1178884,2021,camara,79,79,0,0
1178886,2019,camara,113,96,6,11
1178886,2020,camara,102,100,1,1
1178886,2021,camara,79,77,0,2
1178887,2019,camara,7,7,0,0
1178887,2020,camara,20,20,0,0
1178887,2021,camara,12,12,0,0
1178889,2019,camara,113,85,28,0
1178889,2020,camara,102,98,2,2
1178889,2021,camara,79,78,1,0
1178895,2019,camara,113,86,27,0
1178895,2020,camara,102,98,4,0
1178895,2021,camara,79,78,0,1
1178896,2019,camara,113,90,15,8
1178896,2020,camara,102,98,4,0
1178896,2021,camara,79,79,0,0
1178901,2019,camara,7,7,0,0
1178901,2021,camara,1,1,0,0
1178908,2019,camara,113,103,4,6
1178908,2020,camara,102,101,0,1
1178908,2021,camara,79,76,0,3
1178909,2019,camara,113,101,10,2
1178909,2020,camara,102,99,2,1
1178909,2021,camara,79,79,0,0
1178910,2019,camara,113,110,3,0
1178910,2020,camara,102,101,1,0
1178910,2021,camara,79,78,1,0
1178912,2019,camara,113,108,4,1
1178912,2020,camara,102,101,0,1
1178912,2021,camara,35,35,0,0
1178916,2019,camara,113,107,6,0
1178916,2020,camara,102,96,2,4
1178916,2021,camara,79,78,0,1
1178920,2019,camara,113,106,3,4
